person,job,label,theme,text,date,lemmatized_text
גדעון סער,חבר כנסת הליכוד,3,על הסכמי עודפים בבחירות,רשימה שקיבלה יותר קולות לרוב תקבל את העודפים. בבחירות הקודמות גם לכחול לבן וגם לישראל ביתנו לא היה הסכם עודפים,2019-08-21,רשימה ש קיבל יותר קול לרוב קיבל את ה עודף . ב ה בחירה ה קודם גם ל כ חול לבן ו גם ל ישראל ביתן לא היה ה סכם עודף
איילת שקד,חברת כנסת ימינה,4,על הדיור בגוש דן,"הצפיפות בגוש דן היא כמעט כמו הצפיפות בעזה, והמחירים כמו בניו יורק",2019-08-21,"ה צפיפות ב ה גוש דן הוא כמעט כמו ה צפיפות ב עז , ו ה מחיר כמו בן הורק"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",5,על קרבת השומרון למרכז הארץ,מרעננה לתל אביב לוקח יותר זמן לנסוע מאשר מאלקנה תל אביב,2019-08-21,מ רעננה ל תל אביב לקח יותר זמן נסע מאשר מ אלקנה תל אביב
עאידה תומא סלימאן,חברת כנסת הרשימה המשותפת,2,על תופעת העניים העובדים,יותר ויותר משפחות וזוגות ששניהם עובדים בכל זאת יורדים מתחת לקו העוני,2019-08-20,יותר ו יותר מ שפחה ו זוג ש שניים עבד ב כול זאת ירד מ תחת ל קו ה עוני
יובל שטייניץ,שר האנרגיה הליכוד,4,על הצמיחה במשק הישראלי,"אחרי נזקי לפיד אוששנו את הכלכלה: כמו שבתקופתי הייתה צמיחה גבוהה, היום היא סבירה. 3.6% בחצי הראשון של 2019 זה גבוה מרוב מדינות המערב",2019-08-19,"אחרי נזק לפיד אושש את ה כלכלה כמו ש ב תקופה היה צמיחה גבוה , היום הוא סביר . 3.6 ב חץ ה ראשון של 2019 זה גבוה מ רוב מדינה ה מערב"
יואב גלנט,שר החינוך הליכוד,1,על ההגירה לישראל,העלייה לישראל גדלה בשנה האחרונה ביותר מ-21%,2019-08-14,ה עלייה ל ישראל גידל ב ה שנה ה אחרון ביותר מ 21
יוסף ג'בארין,חבר כנסת הרשימה המשותפת,1,על מספר העצירים המנהליים שבידי ישראל,יש כיום כ-500 עצורים מנהליים שיושבים בלי משפט,2019-08-14,יש כיום כ 500 עצור מנהלי ש ישב בלי משפט
גלעד ארדן,השר לביטחון פנים הליכוד,5,על סמכויות הוועדה שדנה בתרומות לראש הממשלה,ועדת ההיתרים היא ועדה שמייעצת למבקר; זכותו לא לקבל את עמדתה,2019-08-13,ועדה ה היתר הוא ועדה ש ייעץ ל מבקר זכות לא קיבל את עמדה
ניצן הורוביץ,"יו""ר מרצ מרצ",0,על הנפגעים משנאה ברשת,"32% מהשנאה ברשת מכוונת לערבים, 13% לשמאל, 11% ללהטב. ההפחדה והשנאה מגיעות מכיוון אחד",2019-08-11,"32 מ ה שנאה ב ה רשת כוון ל ה ערבי , 13 ל ה שמאל , 11 ללהטב . ה הפחדה ו ה שנאה הגיע מ כיוון אחד"
איילת שקד,חברת כנסת ימינה,4,על הישגיה כשרת המשפטים,צמצמתי את כמות החקיקה הפרטית ב-50%,2019-08-11,צמצם את כמות ה חקיקה ה פרטי ב 50
משה פייגלין,פוליטיקאי זהות,3,על מצוקת האבות הגרושים,[אבות גרושים] זו האוכלוסייה המתאבדת ביותר בישראל,2019-08-09,אב גרוש זו ה אוכלוסייה ה התאבד ביותר ב ישראל
דוד אמסלם,שר התקשורת הליכוד,4,על יישום חוק ההמלצות בסיכום חקירת יעקב ליצמן,אתמול הודיעו על ליצמן והמשטרה עוברת על החוק: אסור למשטרה לפרסם המלצה,2019-08-09,אתמול הודיע על ליצמן ו ה משטרה עבר על ה חוק אסור ל ה משטרה פרסם המלצה
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",4,על הידרדרות הרפואה בישראל,"מספר האחיות פר-אוכלוסייה יורד, והרופאים יורד, ומספר המיטות פר-אוכלוסייה",2019-08-08,"מספר ה אח פר אוכלוסייה הורד , ו ה רופא הורד , ו מספר ה מיטה פר אוכלוסייה"
ניצן הורוביץ,"יו""ר מרצ מרצ",2,על אחוז ההצבעה בבחירות לכנסת ה-21,״בבחירות האחרונות אחוז ההצבעה הכללי היה אחד הנמוכים מאז קום המדינה. במגזר הערבי למשל זה היה הכי נמוך מאז קום המדינה״,2019-08-06,ב ה בחירה ה אחרון אחוז ה הצבעה ה כללי היה אחד ה נמוך מ אז קם ה מדינה . ב ה מגזר ה ערבי למשל זה היה הכי נמוך מ אז קם ה מדינה
גדעון סער,חבר כנסת הליכוד,2,על כושר הביצוע של ממשלות צרות,"ממשלה של 61 חברים לא מנעה ממנחם בגין לקבל החלטות היסטוריות, כולל להפציץ את הכור בעיראק",2019-07-30,"ממשלה של 61 חבר לא מנע מ מנחם בגין קיבל החלטה היסטורי , כלל הפציץ את ה כור ב ה עיראק"
איציק שמולי,שר העבודה והרווחה העבודה,4,"על המעבר של ח""כים למפלגה אחרת לפני הבחירות","סתיו ואחרים שעוזבים מפלגות נבחרו במסגרות פוליטיות ששם הם קיבלו את המנדט, שששווה גם מימון בחירות של מיליון וחצי שקל",2019-07-29,"סתיו ו אחר ש עזב מ פלגה נבחר ב מסגרת פוליטי ש שם הוא קיבל את ה מנדט , ש ששווה גם מימון ב חירות של מיליון ו חץ שקל"
מירי רגב,שרת התחבורה הליכוד,4,על הטענה שהממשלה מקדמת הדתה,אנחנו מכבדים את הסטטוס קוו שקיים: לראשונה בחוק מקומות בידור פתוחים בשבת,2019-07-29,הוא כיבד את ה סטטוס קיווה ש קיים לראשונה ב ה חוק מ קומה בידור פתוח ב ה שבת
משה פייגלין,פוליטיקאי זהות,5,על הישגי מפלגת זהות בבחירות לכנסת ה-21,אני באופן אישי הבאתי כמעט פי שתיים קולות מאיילת [שקד] ונפתלי [בנט] שרצו יחדיו,2019-07-29,הוא ב אופן אישי הביא כמעט פי שתיים קול מ אייל שקד ו נפתלי בנט ש רץ יחדיו
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על ההשקעה בבריאות של ממשלת נתניהו הרביעית,"כשר אוצר נתתי מענקים למתמחים שעובדים בפריפריה, כדי שישפרו את המצב שם. הם ביטלו את המענקים האלה",2019-07-24,"כ שר אוצר נתן מענק ל ה מתמחה ש עבד ב ה פריפריה , כדי ש שיפר את ה מצב שם . הוא ביטל את ה מענק ה אלה"
ניצן הורוביץ,"יו""ר מרצ מרצ",3,על מצוקת האשפוז בישראל,היום התפרסם הנתון: 2 מיטות אשפוז לאלף איש בישראל. זה הכי נמוך מכל המדינות המפותחות בהרבה,2019-07-18,היום התפרסם ה נתון 2 מיטה אשפוז ל אלף איש ב ה ישראל . זה הכי נמוך מ כול ה מדינה ה מפותח בהרבה
איילת שקד,חברת כנסת ימינה,2,על החוק להגבלת שכר הבכירים במערכת הפיננסית,"שכר הבכירים תמיד היה לא-מוגבל, בחברות ציבוריות הוא לא מוגבל ובשום מקום בעולם הוא לא מוגבל",2019-07-18,"שכר ה בכיר תמיד היה לא מוגבל , ב חברה ציבורי הוא לא מוגבל ו ב שום מקום ב ה עולם הוא לא הוגבל"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",3,על ההשקעה בפיקוח דתי ובפיקוח אזרחי,"בכל ישראל יש בסך הכל 20 מפקחות על מעונות יום, 30 פקחי בנייה, אבל 20 אלף משגיחי כשרות",2019-07-18,"ב כול ישראל יש ב ה סך ה כול 20 פיקח על מעון יום , 30 פקח בנייה , אבל 20 אלף משגיח כשרות"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הסיבות לגירעון הממשלתי,ההוצאה הציבורית בשנה האחרונה עלתה ב-10%. ההכנסות ירדו מתחת לתחזיות כי לא גבו ולא תפעלו את המשק כמו שצריך,2019-07-18,ה הוצאה ה ציבורי ב ה שנה ה אחרון עלה ב 10 . ה הכנסה ירד מתחת ל ה תחזית כי לא גבה ו לא תפעל את ה משק כמו ש צריך
יבגני סובה,חבר כנסת ישראל ביתנו,3,על הטבות לחיילים שקידמה ישראל ביתנו,"מענק של יותר מאלף שקל בחודש לכל חייל בודד משוחרר, הטבות לחיילי מילואים עצמאים, את זה קידם שר הביטחון ליברמן",2019-07-16,"מ ענק של יותר מ אלף שקל ב חודש ל כול חייל בודד משוחרר , הטבה חייל מילואים עצמאי , את זה קידם שר ה ביטחון ליברמן"
יעל גרמן,חברת כנסת כחול לבן,1,"על חקיקה נגד טיפולי המרה לקטינים להט""בים","ניסיתי שלוש פעמים להעביר את זה, ובכל השלוש, בממשלה בראשות נתניהו שכביכול נזף ברב פרץ, החוק לא עבר",2019-07-15,"ניסה שלוש פעם העביר את זה , ו ב כול ה שלוש , ב ה ממשלה ב ראשות נתניהו ש כביכול נזף ב רב פרץ , ה חוק לא עבר"
אמיר אוחנה,השר לבטחון פנים הליכוד,2,על השקעת הממשלה בחינוך,"בשנה האחרונה, אם אני לא טועה, תקציב החינוך עבר את תקציב הביטחון. זה דבר שלא היה בתולדות המדינה",2019-07-12,"ב ה שנה ה אחרון , אם הוא לא טעה , תקציב ה חינוך עבר את תקציב ה ביטחון . זה דבר ש לא היה ב תולדה ה מדינה"
ציפי חוטובלי,סגנית שר במשרד החוץ הליכוד,5,על הדמוקרטיה הפנימית בליכוד,אנחנו המפלגה היחידה שנותרה דמוקרטית במפה הפוליטית בישראל,2019-07-11,הוא ה מפלגה ה יחיד ש נותר דמוקרטי ב ה מפה ה פוליטי ב ה ישראל
עידית סילמן,חברת כנסת הבית היהודי,3,על הפיקוח על מעונות יום,"יש בישראל כחצי מיליון ילדים בגילאי לידה עד שלוש. 120 אלף במסגרות שמפוקחות על ידי משרד העבודה והרווחה, אבל 380 אלף במסגרות שאינן מפוקחות על ידי א-ף א-ח-ד!",2019-07-10,"יש ב ה ישראל כ חצי מיליון ילד ב גילאי לידה עד שלוש . 120 אילף ב מסגרת ש פוקח על יד משרד ה עבודה ו ה רווחה , אבל 380 אילף ב מסגרת ש אינו פוקח על יד א ף א ח ד !"
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",5,על הצלחתו בקידום גיוס בני ישיבות,למה אצלי בגצ לא התערב כשר הביטחון? אצלי החרדים עמדו ביעד,2019-07-10,למה אצל ב גצ לא התערב כ שר ה ביטחון ? אצל אני ה חרדי עמד ב יעד
יפעת שאשא ביטון,שרת הבינוי והשיכון תקווה חדשה,3,על העברת האחריות למעונות היום למשרד החינוך,"גם כשהמשרד [של מעונות היום] עבר מהתמת לכלכלה ומהכלכלה לרווחה, בשום שלב לא היה תוספת תקציבית, הוא הועבר כאגף",2019-07-09,"גם כש ה משרד של מעון ה יום עבר מ ה תם ל כלכלה ו מ ה כלכלה ריווח , ב שום שלב לא היה תוספת תקציבי , הוא הועבר כ אגף"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",2,על המפנה בביצועי החברות הממשלתיות בהיותו שר האוצר,השארתי לנתניהו חברות ממשלתיות שמרוויחות יותר מ-2 מיליארד שקל בשנה. כשקיבלתי אותן הן הפסידו 600 מיליון שקל בשנה,2019-07-03,השאיר לנתניהו חבר ממשלתי ש הרוויח יותר מ 2 מיליארד שקל ב שנה . כש קיבל את הן הוא הפסיד 600 מיליון שקל ב ה שנה
גלעד ארדן,השר לביטחון פנים הליכוד,2,על השיפור היחס המשטרה ליוצאי אתיופיה,בשנים האחרונות עשינו המון פעולות שהובילו בשנה האחרונה לירידה של 21% במעצרים בקרב בני הקהילה,2019-07-03,ב ה שנה ה אחרון עשה המון פעולה ש הוביל ב ה שנה ה אחרון ל ירידה של 21 ב ה מעצר בקרב בן ה קהילה
ניצן הורוביץ,"יו""ר מרצ מרצ",2,על ההצבעות של ישראל ביתנו בנושאים אזרחיים,"בכל הממשלות שהוא [ליברמן] היה, הוא לא החמיץ שום הזדמנות להצביע נגד נישואים אזרחיים, נגד תחבורה ציבורית בשבת, נגד זכויות להטב",2019-06-30,"ב כול ה ממשלה ש הוא ליברמן היה , הוא לא החמיץ שום הזדמנות הצביע נגד נישואין אזרחי , נגד תחבורה ציבורי ב ה שבת , נגד זכות להטב"
יצחק פינדרוס,חבר כנסת יהדות התורה,0,על יחסו של שי פירון לחרדים,"כשישב איש יש עתיד במשרד החינוך, אז תוך כדי המלחמה בעזה ילדים חרדים לא היו זכאים לקייטנות בשדרות",2019-06-26,"כש ישב איש יש עתיד ב משרד ה חינוך , אז תוך כדי ה מלחמה ב עז ילד חרד לא היה זכאי ל ה קייטנה ב ה שדרה"
"ישראל כ""ץ",שר האוצר הליכוד,3,על תרומתו לירידה בקטל בדרכים,שיפרנו את מצב הבטיחות בדרכים עם ירידה של כ-30% במספר ההרוגים,2019-06-26,שיפר את מצב ה בטיחות ב ה דרך עם ירידה של כ 30 ב מספר ה הרוג
אלי כהן,שר המודיעין הליכוד,3,על עמדת נגיד בנק ישראל בשאלת הטיפול בגירעון,"נגידים תמיד אומרים להעלות מסים. הם אמרו את זה גם ב-2015, ב-2016 וב-2017. מתי הם אמרו לא להעלות מסים?",2019-06-24,"נגיד תמיד אמר העלה מס . הוא אמר את זה גם ב 2015 , ב 2016 וב 2017 . מתי הוא אמר לא העלה מס ?"
אלי כהן,שר המודיעין הליכוד,4,על המדיניות הלכלית של יאיר לפיד,"העלאת מסים מדכאת את המשק, מורידה את הצמיחה, מעלה את האבטלה. זה בדיוק מה שקרה בתקופתו של לפיד",2019-06-24,"העלאה מס דיכא את ה משק , הוריד את ה צמיחה , העלה את ה אבטלה . זה בדיוק מה ש קרה ב תקופה של לפיד"
אחמד טיבי,חבר כנסת הרשימה המשותפת,2,על תוכנית המאה של טראמפ,זה לא הפעם הראשונה שהאמריקאים מציעים מיליארדים. גם ג'ון קרי הציע תכנית של 4 מיליארד,2019-06-23,זה לא ה פעם ה ראשון ש ה אמריקני הציע מיליארד . גם ג ון קרה הציע תוכנית של 4 מיליארד
גילה גמליאל,השרה להגנת הסביבה הליכוד,1,על תקדימים לבקשתה לחון את עוזי משולם,"בארץ זה יהיה תקדים, אבל במקומות בעולם כבר התבצע שחוננים בן אדם לאחר מותו",2019-06-18,"ב ה ארץ זה היה תקדים , אבל ב מקום ב ה עולם כבר התבצע שחוננים בן אדם לאחר מוות"
מיכל רוזין,חברת כנסת מרצ,1,על הטיפול בתלונות על פגיעה מינית בישראל,"מרכזי הסיוע מקבלים כ-40 אלף פניות בשנה, למשטרה מגיעות כ-6,000-5,000, והמציאות העגומה היא שרוב המקרים שמגיעים למשטרה נסגרים. כמעט 90% מהתיקים נסגרים על ידי המשטרה והפרקליטות",2019-06-18,"מרכז ה סיוע קיבל כ 40 אלף פנייה ב שנה , ל משטרה הגיע כ 6,000 5,000 , ו ה מציאות ה עגום הוא ש רוב ה מקר ש הגיע ל ה משטרה נסגר . כמעט 90 מ ה תיק נסגר על יד ה משטרה ו ה פרקליטות"
בנימין נתניהו,ראש הממשלה הליכוד,1,על הגירעון התקציבי הגבוה באמצע 2019,"התמודדנו עם גירעונות גדולים יותר, גם עם זה נתמודד",2019-06-17,"התמודד עם גירעון גדול יותר , גם עם זה התמודד"
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על המלצת ה-OECD לפנסיה מינימלית לגמלאים,דיברנו על הכנסת מינימום לכל הגמלאים [...] להביא את זה ל-70% משכר המינימום במשק - אותו קריטריון שקבע ארגון OECD שאנחנו משתייכים אליו,2019-06-16,דיבר על הכנסה מינימום ל כול ה גמלאי ... הביא את זה ל 70 מ שכר ה מינימום ב ה משק אותו קריטריון ש קבע ארגון ש הוא השתייך אל הוא
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",3,על היחס למי שהשתתפו בפעולות הטיהור באסון צ'רנוביל,רק ישראל העבירה חוק לטובת האנשים שפעלו בצ'רנוביל. ישראל ביתנו העבירה אותו,2019-06-15,רק ישראל העביר חוק ל טובה ה איש ש פעל בצ רנוביל . ישראל ביתן העביר את הוא
עמיר פרץ,שר הכלכלה העבודה,2,על יכולתו למשוך מצביעי ליכוד,"כשהתמודדתי מול ביבי כיור מפלגה, ניצחתי אותו בכל ערי הפיתוח בארץ, כולל בשדרות שקיבלנו 25%, כולל בקרית שמונה שהיא סמל של הליכוד",2019-06-07,"כש התמודד מול ביב כיור מפלגה , ניצח את הוא ב כול עיר ה פיתוח ב ה ארץ , כלל ב ה שדרה ש קיבל 25 , כלל ב קריה שמונה ש הוא סמל של ה ליכוד"
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",3,על אי הסדר בעבודת הממשלה,המשרד היחידי שיש לו תכנית רב-שנתית זה משרד הביטחון,2019-06-06,ה משרד ה יחידי ש יש ל הוא תוכנית רב שנתי זה משרד ה ביטחון
יובל שטייניץ,שר האנרגיה הליכוד,4,על הכנסות המדינה מגז טבעי,"מאז ועדת ששינסקי, שעשיתי אותה כשר אוצר, אנחנו מקבלים שני שליש מהרווחים מהגז הטבעי, אזרחי ישראל",2019-06-05,"מ אז ועדה ששינסקי , ש עשה את היא כ שר אוצר , הוא קיבל שני שליש מ ה רווח מ ה גז ה טבעי , איזרח ישראל"
מיקי זוהר,"יו""ר הוועדה המסדרת הליכוד",4,על ההתחייבות להשאיר תיק המשפטים בידי הליכוד,התחייבנו גם לפני הבחירות שתיק המשפטים יעבור לאחד מאנשי הליכוד,2019-06-04,התחייב גם לפני ה בחירה ש תיק ה משפט עבר ל אחד מ איש ה ליכוד
אלי כהן,שר המודיעין הליכוד,3,על הגבלת ארגונים המחרימים את ישראל,"בכל העולם, כולל בגרמניה רק לאחרונה, מוציאים אל מחוץ לחוק את ה-BDS האנטישמיים",2019-06-03,"ב כול ה עולם , כלל ב ה גרמני רק לאחרונה , הוציא אל מ חוץ ל ה חוק את ה ה אנטישמי"
רפי פרץ,שר לירושלים ומורשת הבית היהודי,5,על תיק החינוך,זה תיק שהיה לציונות הדתית תמיד,2019-06-03,זה תיק ש היה ל ה ציונות ה דתי תמיד
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על השימוש בעונש מוות במדינות המערב,חזל אמרו שסנהדרין שהייתה מוציאה להורג פעם בשבעים שנה הייתה נחשבת סנהדרין קטלנית. הרבה פחות ממה שמוציאים להורג במדינות מערב מתוקנות,2019-06-03,חזל אמר ש סנהדרין שהייה הוציא ל ה הרג פעם ב שבעים שן היה נחשב סנהדרין קטלני . הרבה פחות מ מה ש הוציא ל ה הרג ב מדינה מערב תוקן
עודד פורר,חבר כנסת ישראל ביתנו,4,על מעורבות המפלגות החרדיות באישור הסכמי אוסלו,"הסיעות החרדיות הן לא סיעות ימין. אם אני מסתכל למשל על הסכמי אוסלו, הם עברו בזכות הסיעות החרדיות, בזכות סיעת שס",2019-05-30,"ה סיעה ה חרדי הוא לא סיעה ימין . אם הוא הסתכל למשל על הסכם אוסלו , הוא עבר בזכות ה סיעה ה חרדי , בזכות סיעה שס"
אוסאמה סעדי,"חבר כנסת חד""ש-תע""ל",2,על מות ערבים בתאונות דרכים,"מאז תחילת השנה [היו] בחברה הערבית, במגזר הערבי, 37 הרוגים בתאונות דרכים. פי שניים מהאחוז שלנו בחברה",2019-05-29,"מ אז תחילה ה שנה היה ב ה חבר ה ערבי , ב ה מגזר ה ערבי , 37 הרוג ב תאונה דרך . פי שני מ ה אחוז ש לן ב ה חבר"
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על כך שצה""ל אינו זקוק למגויסים חרדים","צהל בעצמו אומר שמשנת 2020 הוא הולך לצמצם את כמות המגויסים, מתוך הפנמה שאין צורך בכמות כזאת של חיילים. לא במגזר החרדי - במגזר החילוני",2019-05-27,"צהל ב עצמו אמר ש משנה 2020 הוא הלך צמצם את כמות ה מגויס , מתוך הפנמה ש אין צורך ב כמות כ ה זאת של חייל . לא ב ה מגזר ה חרדי ב ה מגזר ה חילוני"
"ישראל כ""ץ",שר האוצר הליכוד,0,על תרומתו לפתרון הצפיפות ברכבת,"תוספת מאות מקומות לנסיעה ותדירויות לקו נהריה התאפשרה הודות ליישום הנחייתי בידי הנהלת הרכבת, ובעיקר ביטול עיצומי הוועד",2019-05-27,"תוספת מאה מקום ל ה נסיעה ו תדירות ל קו נהריה התאפשר הודות ל ה יישום הנחיה בידי הנהלה ה רכבת , ו בעיקר ביטול עיצומים ה ועד"
אסף זמיר,שר התיירות כחול לבן,4,על מרכזיותה של תל אביב למדינת ישראל,"תל אביב היא צומת שעוברים בה 3 מיליון איש, 2 מיליון, 2.5 מיליון איש [...] 4% מתושבי מדינת ישראל גרים בתל אביב אבל היא אחראית על 25% מהתמג",2019-05-21,"תל אביב הוא צומת ש עבר ב היא 3 מיליון איש , 2 מיליון , 2.5 מיליון אייש ... 4 מ תושב מדינה ישראל גר ב תל אביב אבל הוא אחראי על 25 מ ה תמג"
צחי הנגבי,השר לענייני התיישבות הליכוד,2,על הביקורת בדבר הקמת ממשלה רחבה,"רהמ היחיד שכיבד את ההחלטה על 18 שרים היה בנימין נתניהו. כל [משך כהונת] הממשלה שכיהנתי בה כשר המשפטים, מ-96' עד 99', [היא] מנתה 18 שרים",2019-05-21,"רהמ ה יחיד ש כיבד את ה החלטה על 18 שר היה ב ה הימין נתניהו . כול משך כהונה ה ממשלה ש כיהן ב היא כ שר ה משפט , מ 96 עד 99 , הוא מנה 18 שר"
שלי יחימוביץ',חברת כנסת העבודה,4,על תיקון חוק החסינות בשנת 2005,"למה ב-2005 שונה החוק, ועל ידי מי? בהובלת מי שעמד בראש ועדת חוקה, מיקי איתן [...] כשהצביעו בשבילו כל חברי הליכוד, וכמות ענקית, אולי רוב, של חברי הכנסת",2019-05-19,"למה ב 2005 שנה ה חוק , ו על יד מי ? ב הובלה מי ש עמד ב ראש ועדה חוקה , מ יק איתן ... כש הצביע בשביל הוא כול חבר ה ליכוד , ו כמות ענק , אולי רוב , של חבר הכנסה"
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על החסינות הנשיאותית בצרפת,"כמה מהנשיאים שהיו בצרפת בתקופות האחרונות, כולם כמעט, היו תחת סכנה של חקירה בזמן הכהונה שהוקפאה ונמשכה אחר כך, והיו כאלה שזה הניב גם תוצאות",2019-05-19,"כמה מ ה נשיא ש היה ב צרפת ב ה תקופה ה אחרון , כולם כמעט , היה תחת סכנה של חקירה ב זמן ה כהונה ש הוקפא ו נמשך אחר כך , ו היה כ ה אלה ש זה ה ניב גם תוצאה"
מאיר כהן,חבר כנסת יש עתיד - כחול לבן,4,על הרוב שהליכוד דורש בוועדת הכנסת,הם רוצים שיהיה רוב של 11 לקואליציה מול 7 לאופוזיציה… גם בוועדת הכנסת… יש כאן בקשה לדריסה חסרת תקדים,2019-05-16,הוא רצה ש היה רוב של 11 לקואליציה מול 7 ל ה אופוזיציה גם ב ועדה הכנסה יש כאן בקשה ל ה דריסה חסר תקדים
מיכל רוזין,חברת כנסת מרצ,3,על מדד המחירים והשכר בישראל לעומת באירופה,"כח הקנייה של האזרח הישראלי קטן משל חבריו באירופה [...] בכל פעם שתראו עליית מחירים במדד לצרכן, תשאלו את עצמכן: מתי בפעם האחרונה קיבלתם העלאה דומה במשכורת?",2019-05-15,"כוח ה קנייה של ה אזרח ה ישראלי קטון משל חבר ב ה אירופה ... ב כול פעם ש הראה עלייה מחיר ב מדד ל ה צרכן , תשאל את עצמו מתי ב ה פעם ה אחרון קיבל העלאה דומה ב ה משכורת ?"
שלי יחימוביץ',"ח""כ העבודה",4,על הונו של נתניהו,נתניהו אינו אדם עני. הוא אחד האנשים האמידים בישראל לפי פורבס,2019-05-14,נתניהו אינו אדם עני . הוא אחד ה איש ה אמיד ב ישראל לפי פורבס
יועז הנדל,חבר כנסת תקווה חדשה,3,"על שיעורי חינוך ציוני וגיוס לצה""ל",מעל 50% מתלמידי כיתות א' לומדים בחינוך לא ציוני [...] ורק 50% מהצעירים במדינת ישראל מתגייסים ו-43% מסיימים שירות מלא,2019-05-14,מעל 50 מ תלמיד כיתות א למד ב ה חינוך לא ציוני ... ו רק 50 מ ה צעיר ב מדינה ישראל התגייס ו 43 סיים שירות מלא
בנימין נתניהו,ראש הממשלה הליכוד,5,על המנהג למחוא כפיים בעת נחיתה,"בכל פעם שהמטוס נוחת בנתבג, פתאום כולם מוחאים כפיים. אין דבר כזה בעולם. חפשו מדינה שהמטוס נוחת אצלה והם מוחאים כפיים, אין דבר כזה",2019-05-09,"ב כול פעם ש ה מטוס נחת ב נתב""ג , פתאום כולם מחא כף . אין דבר כ ה זה ב ה עולם . חיפש מדינה ש ה מטוס נחת אצל היא ו הוא מחא כף , אין דבר כ ה זה"
דני דנון,"שגריר ישראל באו""ם",3,"על הגיבוי בעולם לתקיפות צה""ל בעזה","לא רק ארהב – גם האיחוד האירופי, מזכל האום, מדינות רבות אמרו 'ישראל צודקת בהתקפות שלה'",2019-05-06,"לא רק ארה""ב גם ה איחוד ה אירופי , מזכל האום , מדינה רב אמר ישראל צדק ב התקפה של היא"
יאיר לפיד,"חבר כנסת יש עתיד-תל""ם",5,על ההבדל בקצבאות לקשישים ולתלמידי ישיבות,"אם יש היום סבא בן 80 שלחם בכל מלחמות ישראל, הוא מקבל קצבה של 2,432 שקל, אבל אם יש תלמיד ישיבה בן 19, שמשתמט מגיוס לצהל, הוא יקבל 8,000 שקל עכשיו, כי זה מה שהם סידרו לו בממשלה הזאת",2019-05-04,"אם יש היום סבא בן 80 ש לחם ב כול מלחמה ישראל , הוא קיבל קצבה של 2,432 שקל , אבל אם יש תלמיד ישיבה בן 19 , ש השתמט מ גיוס לצהל , הוא קיבל 8,000 שקל עכשיו , כי זה מה ש הוא סידר ל הוא ב ה ממשלה ה זאת"
דני דנון,"שגריר ישראל באו""ם",3,על האנטישמיות בארצות הברית,דוח של ה-FBI ל-2018 מציין עלייה במספרים: רוב פשעי השנאה היום בארצות הברית הם נגד יהודים,2019-05-02,דוח של ה ל 2018 ציין עלייה ב ה מספר רוב פשע ה שנאה היום ב ארץ ה ברית הוא נגד יהודי
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,על החשדות נגד ראש הממשלה נתניהו,מעולם לא היה במדינת ישראל [ש]יחסי תקשורת-פוליטיקה נחשבים כשוחד,2019-05-01,מעולם לא היה ב מדינה ישראל ש יחסים תקשורת פוליטיקה נחשב כ ה שוחד
עודד פורר,חבר כנסת ישראל ביתנו,3,על תרומת ישראל ביתנו לקצבאות העולים הקשישים,השווינו את קצבאות הזקנה שניתנו לעולים החדשים לקצבאות הזקנה שניתנו לכלל אזרחי ישראל,2019-04-29,השווה את קצבה ה זקנה ש ניתן ל ה עולה ה חדש ל ה קצבה ה זקן ש ניתן ל כלל אזרחי ישראל
ישראל אייכלר,חבר כנסת יהדות התורה,2,על ביצועי תוכנית מחיר למשתכן,"60 אלף אנשים סיפרו להם שיש להם דירות, ורק ל-20 אלף הוגשו בקשות להיתר בנייה. 40 אלף זוגות צעירים, יש להם אשליה של דירה ואין להם זכר של דירה",2019-04-28,"60 אלף איש סיפר ל הם ש יש ל הם דירה , ו רק ל 20 אלף הוגש ב קשות ל היתר בנייה . 40 אילף זוג צעיר , יש ל ה הוא אשליה של דירה ו אין ל הם זכר של דירה"
עפר שלח,"חבר כנסת יש עתיד-תל""ם",4,על פתיחת השגרירות האמריקאית בירושלים,"בפתיחת השגרירות האמריקאית בירושלים הוזמנו רק רפובליקאים, לא על ידי ישראל חס וחלילה, אבל הוזמנו רק רפובליקאים",2019-04-23,"ב פתיחה ה שגרירות ה אמריקני ב ירושלים הוזמן רק רפובליקאים , לא על יד ישראל חס ו חליל , אבל הוזמן רק רפובליקאים"
