person,job,label,theme,text,date 
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת,2021-04-07
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים",2021-03-29
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות,2021-03-23
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!",2021-03-15
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם",2021-03-10
בנימין נתניהו,ראש הממשלה הליכוד,4,על המקום שבו ביקר בסיור בחירות בדרום,ראש הממשלה נתניהו ברהט,2021-03-07
נפתלי בנט,"יו""ר ימינה ימינה",0,על התשלום השנתי למובטלים,אם תהפוך את המס בישראל למאוד נמוך [...] לא נבזבז 18 מיליארד שקל על דמי אבטלה כי לא יהיו כמעט מובטלים,2021-03-07
אלי כהן,שר המודיעין הליכוד,3,על פתיחת החקירה בעניין ישראל בבית הדין הפלילי הבינלאומי,בית הדין קובע שגם הבנייה בירושלים היא עבירה,2021-03-06
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על פסיקת בג""ץ לגבי גיור רפורמי בישראל","אחרי החלטת בגץ, כל אדם בעולם ייגש לרב רפורמי ויקבל אישור עלייה תוך 30 יום",2021-03-01
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על תעסוקת חרדים,"אם החרדים יעבדו המדינה תרוויח 20 מיליארד שקל בשנה, שבהם אפשר להוסיף 20 בתיח, 2,000 רופאים, להגדיל פי 10 את קצבת הזקנה",2021-02-18
מרב מיכאלי,"יו""ר העבודה העבודה",4,על תוצאות המדיניות הכלכלית של נתניהו,הפערים בין עניים לעשירים בישראל בתקופת נתניהו הם הגבוהים אי פעם. העוני בתקופת נתניהו גדול מבכל תקופה אחרת,2021-02-16
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",0,על טורניר הג'ודו שישראל מארחת,600 אנשים שנכנסים ללא בידוד [...] כשעוד מאוגוסט דרשתי שיהיו בדיקות לכל מי שנכנס לישראל,2021-02-15
יריב לוין,שר התיירות הליכוד,2,על גל ההתפטרויות בכנסת ה-23,"זה דבר שלא היה כדוגמתו: למעלה מ-20 חכים באים והולכים, חלק לא מבוטל נבחרו במפלגות אווירה או עברו אליהן",2021-02-03
זאב אלקין,מועמד לכנסת תקווה חדשה,3,על מינוי צמרת הליכוד לתפקידים בכירים בממשלה,"״המשמעות של דמוקרטיה ליכודית נעלמה. זה לא רק גדעון סער, זה כל העשירייה הפותחת. בעבר תמיד מי שזכה בראשות [המפלגה] הציע למפסיד תפקיד בכיר״",2021-02-03
נפתלי בנט,"יו""ר ימינה ימינה",4,על ההצדקה לתוכנית הפחתת המס של ימינה,"עד 2003 סינגפור דמתה לישראל בתמג לנפש. מאז רפורמות להפחתת מס, ייעול המגזר הציבורי ופתיחת שווקים, תושביה התעשרו כמעט פי 2 מאיתנו",2021-02-01
אמיר אוחנה,השר לבטחון פנים הליכוד,3,על הפשיעה בחברה הערבית,20% מהאוכלוסייה מחוללת 60% מהפשיעה,2021-01-30
מרב מיכאלי,"יו""ר העבודה העבודה",2,על השוויון המגדרי ברשימת העבודה,"גבר-אישה-אישה-גבר לסירוגין, כל הרשימה: פעם ראשונה במדינת ישראל",2021-01-29
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על הנטל הכלכלי של החינוך החרדי,כל הקצבאות הילדים וכל התמיכות בישיבות וקצבאות לאברכים זה 7 מיליארד שקל,2021-01-26
יואב קיש,סגן שר הבריאות הליכוד,3,על כניסה לישראל ללא בדיקת קורונה,"הבעיה היא דווקא אי-שמירת הבידוד. מעל 50%, אולי 70% מהתחלואה מתגלה בתקופת הבידוד",2021-01-26
עאידה תומא סלימאן,חברת כנסת הרשימה המשותפת,4,על התמיכה בציבור הערבי בהחרמת ההלוויה של פרס,"בבחירות אחרי הלוויית פרס שוב הייתה ירידה בייצוג המפלגות הציוניות באוכלוסייה הערבית, ועלייה בייצוג הרשימה המשותפת",2021-01-19
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על הצביעות הפוליטית של הליכוד,"כשהגשתי הצח לריבונות בבקעה, נתניהו והליכוד הצביעו נגד עם הרשימה המשותפת",2021-01-18
יובל שטייניץ,שר האנרגיה הליכוד,2,על התגובות לגילוי מוטציית הקורונה הבריטית,הרבה מדינות אירופיות אמרו גם לאזרחים שלהן: מי שבבריטניה שיישאר כמה שבועות עד שיתבהר המצב,2021-01-18
יובל שטייניץ,שר האנרגיה הליכוד,3,על מבצע החיסון נגד קורונה,מדינת ישראל היא המדינה הראשונה בעולם שכבר הבטיחה לעצמה מנות חיסון לכל אזרחיה,2021-01-13
יואב גלנט,שר החינוך הליכוד,5,על הצמיחה בישראל,התוצר לנפש במדינת ישראל עלה פי 2 בעשור האחרון,2021-01-11
ניצן הורוביץ,"יו""ר מרצ מרצ",5,על הייצוג השוויוני במרצ,אנחנו המפלגה הראשונה בתולדות ישראל שמציבה שני מועמדים ערבים בחמישייה הראשונה,2021-01-07
הליכוד,מפלגה,4,על התוכנית לפיתוח כלכלי בחברה הערבית,נתניהו הביא 15 מיליארד שקל למגזר הערבי - פי 100 יותר מכל ראש ממשלה קודם בישראל,2021-01-04
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",2,על דפוסי ההצבעה של הציבור הערבי,"נָתַנּוּ לברק 98% מהקולות שלנו לראשות הממשלה, הפנה אלינו עורף - ואתה יודע מה קיבלנו",2021-01-03
ירון זליכה,"יו""ר המפלגה ""הכלכלית""",0,על הישגיו כחשב הכללי באוצר,התקופה שאני כיהנתי באוצר הייתה תקופת הצמיחה הכי ארוכה והכי חזקה בישראל,2021-01-02
איילת שקד,חברת כנסת ימינה,2,על הצניחה בתוצר בגלל הקורונה,"לראשונה בהיסטוריה התוצר של ישראל יורד. לא [כשהיתה] אינפלציה, לא במלחמת יום כיפור - היום!",2020-12-31
אלי אבידר,חבר כנסת ישראל ביתנו,4,על הישגי נתניהו בבחירות האחרונות,בשלוש מערכות הבחירות האחרונות נתניהו כל פעם יורד. המצב הכי טוב שלו היה בסבב הראשון,2020-12-23
אמיר אוחנה,השר לבטחון פנים הליכוד,2,על השפעת נתניהו על מערכת המשפט,"העליון קבע שזה תקין שרמ עם כתב אישום יקבע מי יהיה שר המשפטים, ומי יקבע מי יהיו השופטים",2020-12-19
איציק שמולי,שר העבודה והרווחה העבודה,3,על הישגיו במשרד הרווחה,"בזמן שאין תקציב הכפלתי את מספר המפקחים [במעונות] פי שישה. היו רק 20, היום יש 120",2020-12-17
צחי הנגבי,השר לענייני התיישבות הליכוד,5,על הסיוע הממשלתי במגפת הקורונה,כ-150 מיליארד שקל הופנו למענקים לבעלי עסקים. זה מה שהמדינה הקצתה,2020-12-17
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על לימודי הליבה של תלמידים חרדים,"הילדים החרדים פשוט לוקחים מהם עתיד. הם לא לומדים לימודי ליבה לא מתמטיקה, לא אנגלית",2020-12-16
מירי רגב,שרת התחבורה הליכוד,5,על ההכנות לחיסון מפני קורונה,"גרמניה - אין לה את החיסונים! ראש הממשלה הימר נכון, והביא את החיסונים",2020-12-12
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על התמותה מקורונה בישראל,תשווה כמה מתים למיליון איש בקפריסין וכמה אצלנו. אצלנו דומני פי 40,2020-12-06
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על הכוח האלקטורלי שלו ושל בני גנץ,"במערכת הבחירות הראשונה והשנייה שנינו היינו על הפתק כמועמדים משותפים, והיה 35 מנדטים. דווקא הירידה הייתה כשירדתי מהפתק",2020-12-05
רם שפע,חבר כנסת כחול לבן,4,על כללי אישור תקציב המדינה,נסביר: ממשלה אמורה כל שנה לסגור מראש את התקציב. מה שהיינו אמורים לסגור בתחילת 21' זה תקציב 22',2020-12-02
קטי שטרית,חברת כנסת הליכוד,4,על החלטות ועדת השרים לחקיקה,"הגשתי 19 הצעות חוק - אחת לא עברה. אבל כשהאופוזיציה מגישה, מיד זה עולה",2020-12-01
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על סגירת בתי הספר בשל הקורונה,אנחנו המדינה היחידה - אנחנו ובנגלדש - [שבה] ממרץ ילדים לא היו בבית ספר,2020-11-30
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על נסיעת נתניהו לערב הסעודית,רהמ נוסע לערב הסעודית ולא מעדכן - בניגוד לחוק שקובע שכשהוא עוזב את ישראל הוא ימנה ממ. כשהוא הלך לניתוחון בישראל מינו ממ,2020-11-26
מירי רגב,שרת התחבורה הליכוד,5,על הגדרת סעודיה ובחריין כמדינות ירוקות לקורונה,"מי שקובע מי המדינות הירוקות זה לא אנחנו, אלא הארגון הרפואי הבינלאומי",2020-11-24
עמיר פרץ,שר הכלכלה העבודה,4,על מצב העבודה בסקרי הבחירות,"העבודה הייתה גם הייתה בשפל כזה.
אחרי שברק... היא לא עברה בסקרים את אחוז החסימה",2020-11-23
יולי אדלשטיין,שר הבריאות הליכוד,5,על חוק שיחייב התחסנות מפני קורונה,למיטב ידיעתי אין אף מדינה דמוקרטית שבה יש חוק חיסון חובה,2020-11-22
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",5,על הקריטריונים להקלת הגבלות הקורונה,"כשהתחילו לצאת מהסגר השני יצרו את מקדם ההדבקה, הכוכב החדש בשיח שהוא מקדם הפחדה להכשרת המגבלות הבאות",2020-11-19
"ישראל כ""ץ",שר האוצר הליכוד,3,על ביטול המכס ביבוא חמאה,"הביקוש [לחמאה] גדל, אבל לא רק מהיבוא. גם התוצרת המקומית נמכרה יותר מאשר קודם",2020-11-18
יואב גלנט,שר החינוך הליכוד,5,"על כך שבתיה""ס לא אשמים בגל הקורונה",בסוף אוגוסט היו במדינת ישראל כמיליון חולים - 15% מהאוכלוסייה לפי הבדיקות,2020-11-15
בנימין נתניהו,ראש הממשלה הליכוד,4,על היציבות הפיננסית של ישראל,"S&P משאירה את דירוג האשראי של ישראל ברמתו הגבוהה בזמן משבר הקורונה, בשעה שהיא הורידה אותו למדינות מפותחות",2020-11-14
שלמה קרעי,חבר כנסת הליכוד,3,על השפעת ההצמדה של שכר בכירים לשכר הממוצע,"יש קרוב לאלף בכירים [כאלה] במגזר הציבורי, שמקבלים שני מיליארד שקלים בשנה",2020-11-05
גדעון סער,חבר כנסת הליכוד,3,על ההצדקה לבחירות אזוריות לכנסת,"יש תת-ייצוג לאזורים שלמים בישראל בדגש על פריפריה, או האזורים היותר-מרוחקים מהמרכז. ויש ייצוג-יתר למרכז",2020-11-03
רפי פרץ,שר לירושלים ומורשת הבית היהודי,2,על מצוקת המלונות בירושלים,"85% מהתיירים בירושלים זרים, והתפוסה ירדה ל-3%. יש בעיר 17 אלף חדרים, פי 1.5 יותר מאילת, ויותר מכל שאר הארץ יחד",2020-11-02
אורלי לוי-אבקסיס,השרה לחיזוק וקידום קהילתי סיעת יחיד,3,על הצדקת קיומו של המשרד שלה,יש מדינות שכבר יש להן משרדי קהילות. אפילו באבו-דאבי יש שר לענייני קהילה,2020-10-26
זאב אלקין,מועמד לכנסת תקווה חדשה,0,על הצורך בסיוע דיפרנציאלי לסטודנטים,20% מהסטודנטים מגיעים מסוציו-אקונומי 10-9,2020-10-22
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",3,"על המידע שהוצג לקבינט הקורונה לקראת החזרת בתיה""ס לפעילות",לא היה פילוח לגילאים. אנחנו יודעים בוודאות שילדים עד גיל 10-9 נדבקים ממש מעט ומדביקים ממש מעט,2020-10-22
יולי אדלשטיין,שר הבריאות הליכוד,5,על ירידת הליכוד בסקרים בזמן הקורונה,אין כרגע מדינה עם ממשלה פופולרית שזוכה להרבה מאוד אמון הציבור,2020-10-19
סמי אבו שחאדה,חבר כנסת הרשימה המשותפת,3,על ההסכם עם איחוד האמירויות,בטקסט בערבית לא מופיעות המילה 'נורמליזציה' וההקדמה שבה מוזכר הסכסוך הישראלי-פלסטיני,2020-10-15
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על האפשרות לפטר את היועץ המשפטי לממשלה,מי שצריך לדאוג לפיטוריו [של מנדלבליט] או לאשר אותם זה שר המשפטים אבי ניסנקורן,2020-10-14
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על הדרך למנוע התפשטות קורונה,ארגון הבריאות העולמי פרסם שסגר זה לא יעיל ושהם ממליצים למדינות לא להשתמש בסגרים,2020-10-13
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על העיכוב באישור התקציב בישראל,תעבור על רשימת מדינות OECD. כמעט כולן כבר אישרו תקציב ל-2021,2020-10-12
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על אפליה לרעה של מחאות מימין,"אחרי שנים של הגבלת הפגנות ימין מול בית רהמ, יומיים הפגנות שמאל - והופ! בגץ מבטל את ההגבלות",2020-10-04
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על המחאה נגד מכירת נשק ישראלי לאזרים,אנחנו סוחרים עם אזרבייג'ן במיליארדי דולרים בשנה בנפט ועוד תחומים. הנשק לא חריג,2020-10-04
גילה גמליאל,השרה להגנת הסביבה הליכוד,3,על הנפקת החברה לאיכות הסביבה,זוהי הנפקת המיעוט הראשונה של חברה ממשלתית בישראל,2020-10-01
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הגשת הנחיות הקורונה לציבור,בכל מקום בעולם לקחו איש מקצוע שקט שיסביר לאזרחים כל יום את הנחיות הקורונה,2020-09-22
אמיר אוחנה,השר לבטחון פנים הליכוד,1,על הגבלת הפגנות בסגר הקורונה,"בשבדיה אסורה התקהלות של יותר מ-50 איש לכל מטרה, גם להפגנה",2020-09-21
גילה גמליאל,השרה להגנת הסביבה הליכוד,0,על תרומת נתניהו להתיישבות היהודית בשטחים,בתקופת נתניהו יש עלייה מאוד גדולה בהתיישבות ביוש. הבנייה הולכת ועולה,2020-09-15
אלי אבידר,חבר כנסת ישראל ביתנו,4,על מערך התחקירים לאיתור חולי קורונה,אמרו שיש 400 חוקרים אפידמיולוגיים. היום אנחנו מבינים שיש רק 27,2020-09-14
בנימין נתניהו,ראש הממשלה הליכוד,0,על הסגר שהוכרז בישראל בגל הקורונה השני,"באוסטריה ובאוסטרליה, בספרד ובצרפת, בגרמניה ובבריטניה - בכל המדינות פתחו, התחלואה עלתה, ואז מתחילים להגביל ולסגור",2020-09-13
נפתלי בנט,"יו""ר ימינה ימינה",4,על בדיקות קורונה לכל דכפין,"בישראל אי-אפשר להשיג בדיקות זמינות בזול. למה במלזיה, בגאורגיה, במסצ'וסטס, בניו יורק אפשר?",2020-09-08
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על אישור תכניות בנייה ליהודים מעבר לקו הירוק,"״מתחילת 2020 נבנו 2,000 דירות בלבד, כשבתקופה מקבילה כשכיהנתי כשר הביטחון חתמתי על היתרים ללמעלה מ-7,000 דירות",2020-09-06
יואב גלנט,שר החינוך הליכוד,3,על פתיחת בתי ספר בערים מוכות קורונה,אנחנו יודעים שהילדים הקטנים בכלל לא מידבקים,2020-09-05
יובל שטייניץ,שר האנרגיה הליכוד,3,על השיתוק של עבודת הממשלה,תמיד באוגוסט יש שבועיים-שלושה בלי ישיבות ממשלה. כך היה בכל השנים הנורמליות,2020-09-05
יואל רזבוזוב,"חבר כנסת יש עתיד-תל""ם",0,"על הבחירות הפנימיות ליו""ר המפלגה","יש עתיד מפלגה צעירה, 8 שנים. גם בליכוד הפריימריז התחילו בשנת 92', אחרי מעל 8 שנים",2020-09-03
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על מחדלי משרד החינוך בהתמודדות עם הקורונה,לבתי הספר אין נוהל מה קורה אם יש תלמיד או איש צוות חולה,2020-08-31
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הקלות למי שכביכול התחסנו לקורונה,היום מי שחלה בקורונה וחוזר לארץ פטור מבידוד,2020-08-31
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על סיווג התחלואה בקורונה בישראל ובעולם,"אנחנו מדינה אדומה, בזמן שכל אירופה כבר ירוקה",2020-08-26
איילת שקד,חברת כנסת ימינה,4,על תרומתה לייעול עבודת הפרקליטות כשרת משפטים,לפני שנכנסתי לתפקיד תיקים נמרחו שנים בפרקליטות. זמן החקירות והזמן שתיקים היו פתוחים התקצר משמעותית,2020-08-26
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",0,על המשך קיום העם היהודי,באירופה ובארצות הברית אנחנו מגיעים ל-70% נישואי תערובת והתבוללות,2020-08-26
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על מתן זכות עלייה לנכדי יהודים ב-1970,סעיף הנכד בחוק השבות לא הושפע מחוקי נירנברג: אין לכך זכר בדיוני הכנסת. זו המצאת אמנון רובינשטיין שהיה אז חכ,2020-08-25
אופיר כץ,חבר כנסת הליכוד,1,על הפיקוח הציבורי במעונות יום,"80 מפקחים צריכים לפקח על 10,000 פעוטונים, לפי ההערכה, ויש היום רק 23",2020-08-19
יזהר שי,שר המדע והטכנולוגיה כחול לבן,1,"על מינוי מפכ""ל המשטרה",בהסכם שבינינו ובין הליכוד יש הסכמה שאנחנו נדון במינויי בכירים ונסכם אותם. עוד לא סיכמנו,2020-08-19
צבי האוזר,חבר כנסת כחול לבן,0,על הצעתו להחיל את חוק יסוד משאל עם על יהודה ושומרון,חמש ממשלות שונות ניהלו מומ על ירידה מרמת הגולן. חוק יסוד: משאל עם שם לזה סוף. כל ממשלה שתרצה לרדת מהגולן צריכה לעבור דרך הציבור,2020-08-17
בנימין נתניהו,ראש הממשלה הליכוד,2,על חסינות מפני חקירות בפרלמנט הגרמני,"בגרמניה אי אפשר לחקור חבר פרלמנט בלי אישור המליאה, מפני שמבינים שם כמו בדמוקרטיות רבות, שעלולים לנסות לחולל הפיכה שלטונית באמצעים פסולים",2020-08-12
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על הטיפול המשפטי באיומים כלפי נתניהו ומשפחתו,"כמה כתבי אישום הוגשו, וכמה אנשים הורשעו על איומים והסתה נגד ראש הממשלה?",2020-08-12
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על הבחירה בתקציב חד- או דו-שנתי,תקציב חד שנתי הוא תקציב נכון מבחינת כל גורמי המקצוע,2020-08-04
מירי רגב,שרת התחבורה הליכוד,4,על עידוד ההפגנות נגד הממשלה,הקרן החדשה כותבים תעבירו את הטלפונים שלכם למצב טיסה. זו עבירה על החוק,2020-08-02
גדי יברקן,סגן השר לביטחון פנים הליכוד,4,על מקור הרעיון להקמת יישוב ליוצאי אתיופיה,לאחינו מברית המועצות נתנו מושבים. ליוצאי אתיופיה לא נתנו את הדבר הזה,2020-07-30
אופיר אקוניס,השר לשיתוף פעולה אזורי הליכוד,5,על הסיבה לכך שיהודים חיים מחוץ לארץ ישראל,"טרגדיית הגלויות החלה לפני 2,000 שנה. מכאן נפוצנו לכל העולם והחלה החלוקה לעדות",2020-07-29
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על הקלות לחרדים בימי הקורונה,אישרו ל-17 אלף תלמידי ישיבות מארהב להגיע לחגים בלי שום מגבלות שחלות על שאר האוכלוסייה,2020-07-28
איילת שקד,חברת כנסת ימינה,1,על האפשרות למנוע התפשטות קורונה,"בגרמניה יש מעבדה בשדה התעופה. מי שנכנס ממדינה אדומה עושה בדיקה, תוך שלוש שעות תוצאות",2020-07-27
אוסנת מארק,חברה בוועדה למינוי שופטים ליכוד,5,על הבזבוז בלשכת עורכי הדין,"הלשכה מגלגלת למעלה מ-150 מיליון שקל, ועורכי הדין מחויבים באגרה של יותר מ-1,200 שקל",2020-07-27
עמיר פרץ,שר הכלכלה העבודה,3,על עידוד ההשקעה מוסדית בהייטק,"בזמן שקרן המורים מארהב השקיעה בהייטק בישראל, על קרנות ישראליות אסרו להשקיע",2020-07-23
איציק שמולי,שר העבודה והרווחה העבודה,3,על חלוקת מענקי קורונה אחידים,"תוכנית טראמפ הזניקה את החיסכון הפרטי, היא לא תרמה כמעט במאומה לצמיחה",2020-07-22
שלמה קרעי,חבר כנסת הליכוד,5,על השכר הנמוך של נתניהו,ראש הממשלה משתכר פחות מהמינימום עבור 30 ימי עבודה של 18 שעות,2020-07-20
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הישגיו כשר האוצר,"כשנכנסתי לאוצר האבטלה הייתה בקו עליה תלול, מעל 6.8%. התחלתי טיפול אגרסיבי והיא ירדה ל-5.9%",2020-07-17
פנינה תמנו-שטה,שרת העלייה והקליטה כחול לבן,5,על העלייה בימי המגפה,"הגיעו כ-7,000 עולים חדשים בתקופת הקורונה",2020-07-14
שלמה קרעי,חבר כנסת הליכוד,4,על כוונות הקואליציה החדשה,"הם מחוקקים חוק בקווי היסוד שלהם בהסכמים הקואליציונים שלא רק להגביל את הכהונה שלו כראש ממשלה, שהוא לא יוכל בכלל להתמודד בכנסת",2021-06-14
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",3,"על הצטרפות רע""ם לקואליציה",זאת פעם ראשונה שמפלגה ערבית שותפה להקמת ממשלה,2021-06-02
ינון אזולאי,"חבר כנסת ש""ס",4,על חלוקת התפקידים בקואליציה,אני עדיין לא ראיתי ממשלה ששניים מאותה מפלגה לוקחים גם את ועדת כספים וגם את משרד האוצר,2021-05-25
מוחמד ברכה,"יו""ר ועדת המעקב של ערביי ישראל",5,על פגיעה בבתי כנסת בלוד,לא הייתה פגיעה בשום בית כנסת בלוד,2021-05-25
מירב בן-ארי,חברת כנסת יש עתיד,5,על הכוונה לחסן בני נוער,"רוצים לחסן ילדים על-סמך ניסוי שנוסה על 2,200 ילדים. אין הצדקה אפידמיולוגית קלינית לחסן ילדים וידוע שהם לא מדביקים",2021-05-23
אלי כהן,שר המודיעין הליכוד,4,על גידול האוכלוסייה בעוטף עזה,במהלך העשור האחרון עוטף עזה הפך לאזור פורח עם כמעט הכפלה של האוכלוסייה שנמצאת שם,2021-05-18
מירי רגב,שרת התחבורה הליכוד,2,על הכספים הקטאריים לחמאס,"הכסף הזה עבר בתקופתו של ליברמן, בתקופתו של בוגי",2021-05-17
עיסאווי פריג',חבר כנסת מרצ,2,על עליית יהודים להר הבית,בסטטוס קוו שהיה עד שנת 2000 מבקרים יהודים יכולים לעלות להר הבית,2021-05-10
אבי דיכטר,חבר כנסת הליכוד,0,על השקפת העולם של מרצ,מרצ דרשה להחליף את המנון התקווה באינטרנציונל,2021-05-06
שמחה רוטמן,חבר כנסת הציונות הדתית,1,"על האפשרות להקים ממשלה בתמיכת רע""ם",ממשלת מיעוט מעולם לא קמה במדינת ישראל,2021-05-03
אמילי מואטי,חברת כנסת העבודה,1,על התגובה לביטול משפטו של רוצח שרה אלימי בצרפת,"לפי החוק הישראלי, אזרח ישראלי יכול לפנות לבימש על עבירה [בחול] על רקע אנטישמי",2021-04-23
מרב מיכאלי,"יו""ר העבודה העבודה",1,על הרצל וזכויות נשים,"מחזון הרצל למדינת היהודים נעדרת המילה שוויון, ונשים מוזכרות רק בהקשרי הריון ולידה או כדבר שיש 'לתת ולקחת' למען האומה",2021-04-21
בנימין נתניהו,ראש הממשלה הליכוד,5,על הפתרון שלו לפלונטר הפוליטי,"הציבור יחליט מי ירכיב את הממשלה, ולאחר מכן אפשר יהיה להפיל אותה באי-אמון קונסטרוקטיבי. עושים את זה בהרבה מדינות, כולל אירופה",2021-04-20
אלעזר שטרן,חבר כנסת יש עתיד,4,"על הטיפול של אגף השיקום בנכי צה""ל","כמות נכי צהל הולכת וגדלה עם השנים, למרות שהמלחמות הולכות ופוחתות",2021-04-18
מירב בן-ארי,חברת כנסת יש עתיד,1,על זהות יושבי ראש הכנסת לדורותיהם,עד היום בכל ה-70 שנה הייתה יושבת ראש [כנסת] אחת,2021-04-17
שרן השכל,חברת כנסת תקווה חדשה,2,על הבקשה שלא תיכנס למליאת הכנסת עם תינוקת,אכן התבקשתי לצאת מהמליאה. בפרוטוקול אסור להכניס תינוקות למליאת הכנסת,2021-04-07
אבי דיכטר,חבר כנסת הליכוד,0,"על ביטול מעקב השב""כ אחרי מגעים עם חולי קורונה","לפי משרד הבריאות, איכוני שבכ מנעו 210 מתים ו-30 אלף חולים מקורונה בחודשיים האחרונים",2021-03-29
יועז הנדל,חבר כנסת תקווה חדשה,5,על ניסיון להטעות את בוחריו ביום הבחירות,הקימו מפלגת קש כדי לגרום לאובדן קולות של תקווה חדשה. נתניהו מפחד רק מהמנדטים של תקווה חדשה [...] הוא ינסה לרמות,2021-03-23
בנימין נתניהו,ראש הממשלה הליכוד,5,על תמיכתו בהתיישבות יהודית מעבר לקו הירוק,"אוכלוסיית יהודה ושומרון הכפילה את עצמה בעשור האחרון. חרף כל הקשיים, היא הכפילה!",2021-03-15
יובל שטייניץ,שר האנרגיה הליכוד,3,על טיפולו במשבר הכלכלי ב-2009,"כשנתניהו מינה אותי לאוצר התקרבנו ל-10% אבטלה, והתחזיות היו שכמו ספרד, יוון ואיטליה נגיע גם ל-25%. בפחות משנה הורדנו את האבטלה למינימום לפני כולם",2021-03-10
בנימין נתניהו,ראש הממשלה הליכוד,4,על המקום שבו ביקר בסיור בחירות בדרום,ראש הממשלה נתניהו ברהט,2021-03-07
נפתלי בנט,"יו""ר ימינה ימינה",0,על התשלום השנתי למובטלים,אם תהפוך את המס בישראל למאוד נמוך [...] לא נבזבז 18 מיליארד שקל על דמי אבטלה כי לא יהיו כמעט מובטלים,2021-03-07
אלי כהן,שר המודיעין הליכוד,3,על פתיחת החקירה בעניין ישראל בבית הדין הפלילי הבינלאומי,בית הדין קובע שגם הבנייה בירושלים היא עבירה,2021-03-06
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על פסיקת בג""ץ לגבי גיור רפורמי בישראל","אחרי החלטת בגץ, כל אדם בעולם ייגש לרב רפורמי ויקבל אישור עלייה תוך 30 יום",2021-03-01
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על תעסוקת חרדים,"אם החרדים יעבדו המדינה תרוויח 20 מיליארד שקל בשנה, שבהם אפשר להוסיף 20 בתיח, 2,000 רופאים, להגדיל פי 10 את קצבת הזקנה",2021-02-18
מרב מיכאלי,"יו""ר העבודה העבודה",4,על תוצאות המדיניות הכלכלית של נתניהו,הפערים בין עניים לעשירים בישראל בתקופת נתניהו הם הגבוהים אי פעם. העוני בתקופת נתניהו גדול מבכל תקופה אחרת,2021-02-16
